window_start,window_minutes,bot,side,opened_at,hold_seconds,exit,won,outcome,would_have_won
2026-08-29T05:35:00+00:00,5,R1,UP,2026-08-29T05:35:35.971066+00:00,7,target,1,UP,1
2026-08-29T05:40:00+00:00,5,R1,DOWN,2026-08-29T05:40:30.625467+00:00,7,target,1,DOWN,1
2026-08-29T05:45:00+00:00,5,R3,UP,2026-08-29T05:45:58.877739+00:00,14,target,1,DOWN,0
2026-08-29T05:45:00+00:00,5,R1,DOWN,2026-08-29T05:46:19.381690+00:00,55,stop,0,DOWN,1
2026-08-29T05:45:00+00:00,5,R3,DOWN,2026-08-29T05:46:19.381690+00:00,55,stop,0,DOWN,1
2026-08-29T05:45:00+00:00,15,R1,DOWN,2026-08-29T05:47:20.880085+00:00,7,stop,0,DOWN,1
2026-08-29T05:45:00+00:00,15,R3,UP,2026-08-29T05:48:22.401246+00:00,7,stop,0,DOWN,0
2026-08-29T05:50:00+00:00,5,R1,UP,2026-08-29T05:50:59.524295+00:00,7,stop,0,DOWN,0
2026-08-29T05:55:00+00:00,5,R1,UP,2026-08-29T05:55:32.795354+00:00,14,stop,0,UP,1
2026-08-29T05:55:00+00:00,5,R3,UP,2026-08-29T05:56:13.750623+00:00,7,stop,0,UP,1
2026-08-29T06:00:00+00:00,5,R1,UP,2026-08-29T06:00:31.142798+00:00,7,target,1,DOWN,0
2026-08-29T06:00:00+00:00,5,R3,UP,2026-08-29T06:00:51.833962+00:00,28,stop,0,DOWN,0
2026-08-29T06:00:00+00:00,15,R1,UP,2026-08-29T06:01:46.896280+00:00,7,stop,0,DOWN,0
2026-08-29T06:05:00+00:00,5,R1,UP,2026-08-29T06:05:32.683698+00:00,61,target,1,DOWN,0
2026-08-29T06:05:00+00:00,5,R3,UP,2026-08-29T06:06:06.806668+00:00,27,target,1,DOWN,0
2026-08-29T06:10:00+00:00,5,R1,DOWN,2026-08-29T06:10:33.387709+00:00,55,target,1,DOWN,1
2026-08-29T06:15:00+00:00,5,R1,UP,2026-08-29T06:15:55.057379+00:00,7,target,1,DOWN,0
2026-08-29T06:15:00+00:00,15,R1,UP,2026-08-29T06:16:43.000593+00:00,62,target,1,DOWN,0
2026-08-29T06:20:00+00:00,5,R1,UP,2026-08-29T06:20:30.044956+00:00,27,stop,0,DOWN,0
2026-08-29T06:25:00+00:00,5,R1,DOWN,2026-08-29T06:25:43.012561+00:00,14,stop,0,DOWN,1
2026-08-29T06:30:00+00:00,5,R1,DOWN,2026-08-29T06:30:30.862246+00:00,34,stop,0,UP,0
2026-08-29T06:30:00+00:00,15,R1,DOWN,2026-08-29T06:31:32.325067+00:00,20,stop,0,UP,0
2026-08-29T06:30:00+00:00,15,R3,DOWN,2026-08-29T06:34:50.355166+00:00,41,target,1,UP,0
2026-08-29T06:35:00+00:00,5,R1,DOWN,2026-08-29T06:35:31.438182+00:00,7,stop,0,DOWN,1
2026-08-29T06:35:00+00:00,5,R3,UP,2026-08-29T06:37:00.477594+00:00,14,target,1,DOWN,0
2026-08-29T06:30:00+00:00,15,R3,DOWN,2026-08-29T06:37:41.454084+00:00,75,target,1,UP,0
2026-08-29T06:40:00+00:00,5,R1,UP,2026-08-29T06:40:32.311663+00:00,7,target,1,UP,1
2026-08-29T06:45:00+00:00,5,R1,UP,2026-08-29T06:45:33.060561+00:00,27,target,1,UP,1
2026-08-29T06:45:00+00:00,15,R1,UP,2026-08-29T06:47:15.482640+00:00,41,target,1,UP,1
2026-08-29T06:45:00+00:00,15,R3,DOWN,2026-08-29T06:48:30.605502+00:00,41,target,1,UP,0
2026-08-29T06:50:00+00:00,5,R1,DOWN,2026-08-29T06:50:40.214398+00:00,48,stop,0,DOWN,1
